2016,2017,2018,2019,2020,Country,ICD_10,ICD_10_description
1.0341,1.0288,1.0258,1.0083,0.9710,Germany,E10-E14,Diabetes Mellitus
1.6331,1.8497,1.9209,1.9935,2.0497,USA,E10-E14,Diabetes Mellitus
