2016,2017,2018,2019,2020,Country,ICD_10,ICD_10_description
2.7682,2.7764,2.8085,2.7630,3.0958,Germany,Z38,Liveborn infants according to place of birth
10.6718,10.3784,10.2285,10.1320,10.7146,USA,Z38,Liveborn infants according to place of birth
